"Country or Area","Year(s)","Variant","Value"
"Iceland","2085","Lower 95 PI","312.03"
"Iceland","2084","Medium","387.604"
"Iceland","2084","High","489.334"
"Iceland","2084","Low","302.616"
"Iceland","2084","Constant fertility","395.658"
"Iceland","2084","Instant replacement","472.909"
"Iceland","2084","Zero migration","353.308"
"Iceland","2084","Constant mortality","353.845"
"Iceland","2084","No change","361.864"
"Iceland","2084","Momentum","401.528"
"Iceland","2084","Instant replacement zero migration","434.512"
"Iceland","2084","Median PI","387.604"
"Iceland","2084","Upper 80 PI","446.955"
"Iceland","2084","Lower 80 PI","341.582"
"Iceland","2084","Upper 95 PI","484.914"
"Iceland","2084","Lower 95 PI","315.001"
"Iceland","2083","Medium","388.984"
"Iceland","2083","High","488.197"
"Iceland","2083","Low","305.711"
"Iceland","2083","Constant fertility","396.788"
"Iceland","2083","Instant replacement","472.2"
"Iceland","2083","Zero migration","355.272"
"Iceland","2083","Constant mortality","355.671"
"Iceland","2083","No change","363.447"
"Iceland","2083","Momentum","401.976"
"Iceland","2083","Instant replacement zero migration","434.538"
"Iceland","2083","Median PI","388.984"
"Iceland","2083","Upper 80 PI","447.356"
"Iceland","2083","Lower 80 PI","343.941"
"Iceland","2083","Upper 95 PI","484.006"
"Iceland","2083","Lower 95 PI","317.896"
"Iceland","2082","Medium","390.349"
"Iceland","2082","High","487.085"
"Iceland","2082","Low","308.781"
"Iceland","2082","Constant fertility","397.901"
"Iceland","2082","Instant replacement","471.515"
"Iceland","2082","Zero migration","357.228"
"Iceland","2082","Constant mortality","357.515"
"Iceland","2082","No change","365.049"
"Iceland","2082","Momentum","402.488"
"Iceland","2082","Instant replacement zero migration","434.591"
"Iceland","2082","Median PI","390.35"
"Iceland","2082","Upper 80 PI","447.338"
"Iceland","2082","Lower 80 PI","346.279"
"Iceland","2082","Upper 95 PI","483.436"
"Iceland","2082","Lower 95 PI","320.744"
"Iceland","2081","Medium","391.691"
"Iceland","2081","High","485.983"
"Iceland","2081","Low","311.829"
"Iceland","2081","Constant fertility","399"
"Iceland","2081","Instant replacement","470.851"
"Iceland","2081","Zero migration","359.167"
"Iceland","2081","Constant mortality","359.38"
"Iceland","2081","No change","366.67"
"Iceland","2081","Momentum","403.046"
"Iceland","2081","Instant replacement zero migration","434.663"
"Iceland","2081","Median PI","391.691"
"Iceland","2081","Upper 80 PI","447.173"
"Iceland","2081","Lower 80 PI","348.381"
"Iceland","2081","Upper 95 PI","482.844"
"Iceland","2081","Lower 95 PI","323.259"
"Iceland","2080","Medium","393.007"
"Iceland","2080","High","484.873"
"Iceland","2080","Low","314.836"
"Iceland","2080","Constant fertility","400.071"
"Iceland","2080","Instant replacement","470.195"
"Iceland","2080","Zero migration","361.082"
"Iceland","2080","Constant mortality","361.26"
"Iceland","2080","No change","368.307"
"Iceland","2080","Momentum","403.654"
"Iceland","2080","Instant replacement zero migration","434.741"
"Iceland","2080","Median PI","393.007"
"Iceland","2080","Upper 80 PI","447.116"
"Iceland","2080","Lower 80 PI","350.385"
"Iceland","2080","Upper 95 PI","481.887"
"Iceland","2080","Lower 95 PI","325.654"
"Iceland","2079","Medium","394.286"
"Iceland","2079","High","483.747"
"Iceland","2079","Low","317.798"
"Iceland","2079","Constant fertility","401.113"
"Iceland","2079","Instant replacement","469.539"
"Iceland","2079","Zero migration","362.966"
"Iceland","2079","Constant mortality","363.139"
"Iceland","2079","No change","369.952"
"Iceland","2079","Momentum","404.297"
"Iceland","2079","Instant replacement zero migration","434.819"
"Iceland","2079","Median PI","394.286"
"Iceland","2079","Upper 80 PI","446.967"
"Iceland","2079","Lower 80 PI","352.338"
"Iceland","2079","Upper 95 PI","480.767"
"Iceland","2079","Lower 95 PI","328.189"
"Iceland","2078","Medium","395.524"
"Iceland","2078","High","482.599"
"Iceland","2078","Low","320.726"
"Iceland","2078","Constant fertility","402.127"
"Iceland","2078","Instant replacement","468.878"
"Iceland","2078","Zero migration","364.809"
"Iceland","2078","Constant mortality","365"
"Iceland","2078","No change","371.589"
"Iceland","2078","Momentum","404.969"
"Iceland","2078","Instant replacement zero migration","434.899"
"Iceland","2078","Median PI","395.524"
"Iceland","2078","Upper 80 PI","446.868"
"Iceland","2078","Lower 80 PI","354.357"
"Iceland","2078","Upper 95 PI","479.297"
"Iceland","2078","Lower 95 PI","330.728"
"Iceland","2077","Medium","396.72"
"Iceland","2077","High","481.432"
"Iceland","2077","Low","323.605"
"Iceland","2077","Constant fertility","403.097"
"Iceland","2077","Instant replacement","468.209"
"Iceland","2077","Zero migration","366.608"
"Iceland","2077","Constant mortality","366.851"
"Iceland","2077","No change","373.216"
"Iceland","2077","Momentum","405.658"
"Iceland","2077","Instant replacement zero migration","434.964"
"Iceland","2077","Median PI","396.72"
"Iceland","2077","Upper 80 PI","446.713"
"Iceland","2077","Lower 80 PI","356.403"
"Iceland","2077","Upper 95 PI","477.869"
"Iceland","2077","Lower 95 PI","333.233"
"Iceland","2076","Medium","397.868"
"Iceland","2076","High","480.226"
"Iceland","2076","Low","326.438"
"Iceland","2076","Constant fertility","404.03"
"Iceland","2076","Instant replacement","467.521"
"Iceland","2076","Zero migration","368.373"
"Iceland","2076","Constant mortality","368.678"
"Iceland","2076","No change","374.829"
"Iceland","2076","Momentum","406.346"
"Iceland","2076","Instant replacement zero migration","435.012"
"Iceland","2076","Median PI","397.869"
"Iceland","2076","Upper 80 PI","446.316"
"Iceland","2076","Lower 80 PI","358.315"
"Iceland","2076","Upper 95 PI","476.669"
"Iceland","2076","Lower 95 PI","335.446"
"Iceland","2075","Medium","398.961"
"Iceland","2075","High","478.973"
"Iceland","2075","Low","329.219"
"Iceland","2075","Constant fertility","404.923"
"Iceland","2075","Instant replacement","466.803"
"Iceland","2075","Zero migration","370.089"
"Iceland","2075","Constant mortality","370.469"
"Iceland","2075","No change","376.418"
"Iceland","2075","Momentum","407.031"
"Iceland","2075","Instant replacement zero migration","435.031"
"Iceland","2075","Median PI","398.961"
"Iceland","2075","Upper 80 PI","445.974"
"Iceland","2075","Lower 80 PI","360.042"
"Iceland","2075","Upper 95 PI","475.213"
"Iceland","2075","Lower 95 PI","337.597"
"Iceland","2074","Medium","400.006"
"Iceland","2074","High","477.68"
"Iceland","2074","Low","331.952"
"Iceland","2074","Constant fertility","405.765"
"Iceland","2074","Instant replacement","466.048"
"Iceland","2074","Zero migration","371.753"
"Iceland","2074","Constant mortality","372.238"
"Iceland","2074","No change","377.978"
"Iceland","2074","Momentum","407.697"
"Iceland","2074","Instant replacement zero migration","435.014"
"Iceland","2074","Median PI","400.006"
"Iceland","2074","Upper 80 PI","445.734"
"Iceland","2074","Lower 80 PI","361.825"
"Iceland","2074","Upper 95 PI","473.592"
"Iceland","2074","Lower 95 PI","340.036"
"Iceland","2073","Medium","400.999"
"Iceland","2073","High","476.341"
"Iceland","2073","Low","334.632"
"Iceland","2073","Constant fertility","406.555"
"Iceland","2073","Instant replacement","465.243"
"Iceland","2073","Zero migration","373.365"
"Iceland","2073","Constant mortality","373.967"
"Iceland","2073","No change","379.503"
"Iceland","2073","Momentum","408.335"
"Iceland","2073","Instant replacement zero migration","434.957"
"Iceland","2073","Median PI","400.999"
"Iceland","2073","Upper 80 PI","445.493"
"Iceland","2073","Lower 80 PI","363.755"
"Iceland","2073","Upper 95 PI","472.166"
"Iceland","2073","Lower 95 PI","342.542"
"Iceland","2072","Medium","401.939"
"Iceland","2072","High","474.966"
"Iceland","2072","Low","337.253"
"Iceland","2072","Constant fertility","407.292"
"Iceland","2072","Instant replacement","464.395"
"Iceland","2072","Zero migration","374.92"
"Iceland","2072","Constant mortality","375.647"
"Iceland","2072","No change","380.989"
"Iceland","2072","Momentum","408.938"
"Iceland","2072","Instant replacement zero migration","434.845"
"Iceland","2072","Median PI","401.939"
"Iceland","2072","Upper 80 PI","445.27"
"Iceland","2072","Lower 80 PI","365.514"
"Iceland","2072","Upper 95 PI","470.958"
"Iceland","2072","Lower 95 PI","344.856"
"Iceland","2071","Medium","402.813"
"Iceland","2071","High","473.546"
"Iceland","2071","Low","339.818"
"Iceland","2071","Constant fertility","407.976"
"Iceland","2071","Instant replacement","463.493"
"Iceland","2071","Zero migration","376.419"
"Iceland","2071","Constant mortality","377.274"
"Iceland","2071","No change","382.428"
"Iceland","2071","Momentum","409.494"
"Iceland","2071","Instant replacement zero migration","434.678"
"Iceland","2071","Median PI","402.813"
"Iceland","2071","Upper 80 PI","444.812"
"Iceland","2071","Lower 80 PI","367.214"
"Iceland","2071","Upper 95 PI","469.779"
"Iceland","2071","Lower 95 PI","347.115"
"Iceland","2070","Medium","403.628"
"Iceland","2070","High","472.074"
"Iceland","2070","Low","342.327"
"Iceland","2070","Constant fertility","408.606"
"Iceland","2070","Instant replacement","462.531"
"Iceland","2070","Zero migration","377.858"
"Iceland","2070","Constant mortality","378.849"
"Iceland","2070","No change","383.818"
"Iceland","2070","Momentum","410.002"
"Iceland","2070","Instant replacement zero migration","434.449"
"Iceland","2070","Median PI","403.629"
"Iceland","2070","Upper 80 PI","444.026"
"Iceland","2070","Lower 80 PI","368.815"
"Iceland","2070","Upper 95 PI","468.41"
"Iceland","2070","Lower 95 PI","349.394"
